timestamp,date,hour,minute,zone,pir_motion,ultrasonic_cm,accel_x,accel_y,accel_z,ir_entry,ir_exit,activity_label,is_office_hours,is_anomaly
2026-01-01 07:00:00,2026-01-01,7,0,classroom_B,0,321.5,0.056,-0.093,9.713,0,0,idle,0,0
2026-01-01 07:05:00,2026-01-01,7,5,classroom_B,0,389.9,-0.094,-0.069,9.79,0,0,idle,0,0
2026-01-01 07:10:00,2026-01-01,7,10,classroom_B,0,352.6,0.015,0.006,9.78,0,0,idle,0,0
2026-01-01 07:15:00,2026-01-01,7,15,library,0,222.7,0.047,-0.0,9.777,0,0,idle,0,0
2026-01-01 07:20:00,2026-01-01,7,20,lab,0,355.0,0.041,-0.057,9.822,0,0,idle,0,0
2026-01-01 07:25:00,2026-01-01,7,25,entrance,0,227.1,-0.085,-0.065,9.843,0,0,idle,0,0
2026-01-01 07:30:00,2026-01-01,7,30,library,0,393.5,0.097,0.034,9.842,0,0,idle,0,0
2026-01-01 07:35:00,2026-01-01,7,35,classroom_A,0,378.3,0.07,0.042,9.885,0,0,idle,0,0
2026-01-01 07:40:00,2026-01-01,7,40,lab,0,301.8,-0.076,-0.06,9.728,0,0,idle,0,0
2026-01-01 07:45:00,2026-01-01,7,45,lab,1,59.9,0.061,0.01,9.822,1,0,idle,0,1
2026-01-01 07:50:00,2026-01-01,7,50,entrance,0,353.8,0.065,-0.085,9.894,0,0,idle,0,0
2026-01-01 07:55:00,2026-01-01,7,55,library,0,336.0,-0.031,0.076,9.856,0,0,idle,0,0
2026-01-01 08:00:00,2026-01-01,8,0,classroom_B,1,97.0,0.082,-0.089,9.725,0,0,idle,1,0
2026-01-01 08:05:00,2026-01-01,8,5,entrance,0,245.1,0.089,0.004,9.757,0,0,idle,1,0
2026-01-01 08:10:00,2026-01-01,8,10,library,1,67.2,-0.075,-0.039,9.807,0,0,idle,1,0
2026-01-01 08:15:00,2026-01-01,8,15,entrance,1,69.3,0.021,0.069,9.813,0,1,idle,1,0
2026-01-01 08:20:00,2026-01-01,8,20,library,0,354.2,-0.047,-0.058,9.814,0,0,idle,1,0
2026-01-01 08:25:00,2026-01-01,8,25,classroom_B,1,54.8,-0.042,0.091,9.797,0,0,idle,1,0
2026-01-01 08:30:00,2026-01-01,8,30,classroom_B,1,72.0,-0.338,-0.142,9.021,0,0,walking,1,0
2026-01-01 08:35:00,2026-01-01,8,35,lab,0,226.2,-0.026,0.012,9.764,0,0,idle,1,0
2026-01-01 08:40:00,2026-01-01,8,40,classroom_A,1,50.5,-1.798,1.782,10.592,0,0,sitting,1,0
2026-01-01 08:45:00,2026-01-01,8,45,library,0,386.8,0.044,-0.062,9.732,0,0,idle,1,0
2026-01-01 08:50:00,2026-01-01,8,50,entrance,1,89.1,-0.082,-0.021,9.791,0,0,idle,1,0
2026-01-01 08:55:00,2026-01-01,8,55,classroom_B,1,54.5,0.031,-0.006,9.807,0,0,idle,1,0
2026-01-01 09:00:00,2026-01-01,9,0,classroom_A,0,352.8,-0.027,-0.02,9.814,0,0,idle,1,0
2026-01-01 09:05:00,2026-01-01,9,5,classroom_A,1,36.0,-0.01,0.01,9.865,0,0,idle,1,0
2026-01-01 09:10:00,2026-01-01,9,10,classroom_A,0,278.8,0.059,-0.032,9.888,0,0,idle,1,0
2026-01-01 09:15:00,2026-01-01,9,15,library,1,55.8,-0.091,-0.073,9.767,0,0,idle,1,0
2026-01-01 09:20:00,2026-01-01,9,20,library,0,228.0,0.086,-0.036,9.779,0,0,idle,1,0
2026-01-01 09:25:00,2026-01-01,9,25,library,0,259.8,-0.033,0.066,9.806,0,0,idle,1,0
2026-01-01 09:30:00,2026-01-01,9,30,entrance,1,83.4,0.035,0.096,9.817,0,0,idle,1,0
2026-01-01 09:35:00,2026-01-01,9,35,library,1,33.9,0.094,0.016,9.746,1,0,idle,1,0
2026-01-01 09:40:00,2026-01-01,9,40,entrance,1,65.8,-0.07,0.036,9.706,0,0,idle,1,0
